"departamento","municipio","codigo_dane","armas_medios","fecha_hecho","genero","grupo_etario","cantidad","delito"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","24/01/2010","MASCULINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"ATLÁNTICO","Soledad","08758000","NO REPORTADO","28/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 205. ACCESO CARNAL VIOLENTO"
"MAGDALENA","Santa Marta (CT)","47001000","NO REPORTADO","03/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN)"
"MAGDALENA","Santa Marta (CT)","47001023","NO REPORTADO","13/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN)"
"GUAJIRA","Maicao","44430000","NO REPORTADO","14/01/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","14/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","05/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 218. PORNOGRAFÍA CON MENORES"
"QUINDÍO","Armenia (CT)","63001000","NO REPORTADO","21/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","14/02/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR  (CIRCUNSTANC"
"SUCRE","Coloso","70204000","NO REPORTADO","12/01/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 205. ACCESO CARNAL VIOLENTO"
"NARIÑO","Ipiales","52356000","NO REPORTADO","18/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"NARIÑO","Ipiales","52356000","NO REPORTADO","18/01/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"NARIÑO","Ipiales","52356000","NO REPORTADO","18/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
